,Accuracy,Precision,Recall,F1-Score,ROC-AUC
LightGBM,0.9628270676691729,0.9771080846131556,0.9361465852304275,0.95618885580604,0.9943566038304092
XGBoost,0.9612631578947368,0.9697794328272701,0.939894503053859,0.9546031298463273,0.9947079283048179
Random Forest,0.9589172932330827,0.9679919621070762,0.9361465852304275,0.9518029779126385,0.9922307769198032
Neural Network,0.9499548872180451,0.9442275515895148,0.9400333148250972,0.9421257651641625,0.9908342753948921
Gradient Boosting,0.9442406015037594,0.9499641577060932,0.9197667962243198,0.9346216235277524,0.988045110628311
Decision Tree,0.9399097744360903,0.9285812957590828,0.9330927262631871,0.9308315446929308,0.9391076623567289
KNN,0.9276992481203008,0.9405460951262478,0.8893670183231538,0.9142408675799086,0.9687956707819152
Logistic Regression,0.8989473684210526,0.9029763641669099,0.859106052193226,0.8804950917626974,0.9462608962304435
SVM,0.877593984962406,0.8355186291055433,0.8933925596890616,0.8634869524384517,0.9474322282947809
Naive Bayes,0.8502857142857143,0.8366414393831215,0.8132981676846197,0.8248046737523755,0.9145832573289403
